Criteria	Criterion Ca: Reduction of Intragroup Variation	Criterion Cb: Differential Metabolic Analysis	Criterion Cc: Consistency in Marker Discovery	Criterion Cd: Classification Accuracy
Med+Cub+MST+POW	40	40	10	40
Mea+Cub+MST+POW	40	40	10	40
KNN+Log+VSN	40	40	10	40
KNN+Cub+MST+POW	40	10	10	40
KNN+Log+MST+NON	40	10	10	40
KNN+Cub+MST+NON	10	40	10	40
HaM+Non+AUT+CUB	40	10	10	40
Mea+Cub+MST+NON	10	40	10	40
Mea+Non+AUT+CUB	40	10	10	40
Med+Log+VSN	10	40	10	40
Med+Non+AUT+CUB	40	10	10	40
Med+Cub+MST+NON	10	40	10	40
KNN+Log+MST+POW	40	10	10	40
HaM+Non+RAN+CUB	40	10	10	40
Med+Non+RAN+CUB	10	40	5	40
KNN+Cub+RAN+CUB	10	40	5	40
Mea+Cub+POW+CUB	10	40	5	40
Med+Non+PAR+CUB	40	10	5	40
Mea+Non+PAR+CUB	10	40	5	40
Mea+Log+CUB+POW	40	10	5	40
KNN+Cub+VSN	40	10	5	40
KNN+Cub+CUB+POW	40	10	5	40
Med+Cub+CUB+POW	40	10	5	40
KNN+Log+RAN+CUB	40	10	5	40
KNN+Log+LEV+MEA	10	40	5	40
KNN+Cub+MST+PAR	40	10	40	5
Med+Cub+MST+PAR	40	10	40	5
Mea+Cub+MST+PAR	40	10	40	5
KNN+Non+POW+CUB	40	10	5	40
KNN+Cub+LOE+POW	40	10	40	5
Med+Cub+LIN+POW	10	40	5	40
KNN+Log+CUB+POW	10	40	5	40
Med+Log+CUB+POW	10	40	5	40
KNN+Log+POW+MEA	10	10	5	40
Med+Cub+LOE+POW	10	10	5	40
Med+Cub+QUA+POW	10	10	5	40
Mea+Cub+LIN+POW	5	10	10	40
Med+Cub+RAN+CUB	10	10	5	40
KNN+Log+LIN+POW	5	40	5	40
Mea+Cub+RAN+CUB	40	10	5	5
KNN+Cub+LIN+POW	40	10	5	5
KNN+Cub+POW+MED	40	10	5	5
Mea+Cub+LOE+POW	5	10	40	5
KNN+Cub+QUA+POW	40	10	5	5
Mea+Log+RAN+CUB	40	5	10	5
KNN+Log+LEV+MED	40	10	5	5
HaM+Cub+PAR+CUB	40	5	10	5
Med+Cub+POW+MED	40	10	5	5
KNN+Log+LOE+POW	40	10	5	5
