Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type	Disease
COX-2	1973	1	2	1	Human/Protein	Diclofenac sodium	Small molecule	Bone
COX-2	1988	4	4	1	Human/Protein	Diclofenac sodium	Small molecule	Bone
TNF-a	1957	1	1	1	Human/Protein	Etanercept	Protein drug	Bone
TNF-a	1958	1	1	?	Human/Protein	Etanercept	Protein drug	Bone
TNF-a	1995	2	3	2	Human/Protein	Etanercept	Protein drug	Bone
TNF-a	1996	2	3	2	Human/Protein	Etanercept	Protein drug	Bone
TNF-a	1997	2	3	2	Human/Protein	Etanercept	Protein drug	Bone
TNF-a	1998	4	4	4	Human/Protein	Etanercept	Protein drug	Bone
IL-1R-alpha	2000	2	2	1	Human/Protein	Anakinra	Protein drug	Bone
IL-1R-alpha	2001	4	4	1	Human/Protein	Anakinra	Protein drug	Bone
TOP2A	1964	1	1	1	Human/Protein	Doxorubicin	Small molecule	Cancer
TOP2A	1965	1	1	?	Human/Protein	Doxorubicin	Small molecule	Cancer
TOP2A	1974	4	4	1	Human/Protein	Doxorubicin	Small molecule	Cancer
Interferon alpha/beta receptor	1981	1	1	1	Human/Protein	Interferon alpha-2b	Protein drug	Cancer
Interferon alpha/beta receptor	1982	1	1	?	Human/Protein	Interferon alpha-2b	Protein drug	Cancer
Interferon alpha/beta receptor	1986	4	4	2	Human/Protein	Interferon alpha-2b	Protein drug	Cancer
TOP1	1972	1	1	1	Human/Protein	Irinotecan	Small molecule	Cancer
TOP1	1973	1	1	?	Human/Protein	Irinotecan	Small molecule	Cancer
TOP1	1993	1	1	1	Human/Protein	Irinotecan	Small molecule	Cancer
TOP1	1994	1	1	1	Human/Protein	Irinotecan	Small molecule	Cancer
TOP1	1995	2	2	3	Human/Protein	Irinotecan	Small molecule	Cancer
TOP1	1996	4	4	3	Human/Protein	Irinotecan	Small molecule	Cancer
EGFR	1985	2	2	1	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	1995	3	3	1	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	1996	3	3	1	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	1997	3	3	1	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	1998	3	3	1	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	1999	3	3	3	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	2000	3	3	3	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	2001	3	3	4	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	2002	3	3	5	Human/Protein	Gefitinib	Small molecule	Cancer
EGFR	2003	4	4	6	Human/Protein	Gefitinib	Small molecule	Cancer
ER-alpha	1957	1	1	1	Human/Protein	Tamoxifen Citrate	Small molecule	Cancer
ER-alpha	1958	1	1	?	Human/Protein	Tamoxifen Citrate	Small molecule	Cancer
ER-alpha	1977	4	4	1	Human/Protein	Tamoxifen Citrate	Small molecule	Cancer
Aromatase	1982	2	2	1	Human/Protein	Anastrozole	Small molecule	Cancer
Aromatase	1995	4	4	1	Human/Protein	Anastrozole	Small molecule	Cancer
CD33	1993	1	1	1	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1994	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1995	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1996	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1997	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1998	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	1999	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
CD33	2000	4	4	3	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer
GnRH receptor	1981	1	1	1	Human/Protein	Leuprolide acetate	Small molecule	Cancer
