Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type
Glycoprotein IIb/IIIa receptor	1991	3	3	1	Human/Protein	Abciximab	Antibody
Glycoprotein IIb/IIIa receptor	1992	3	3	1	Human/Protein	Abciximab	Antibody
Glycoprotein IIb/IIIa receptor	1993	3	3	3	Human/Protein	Abciximab	Antibody
Glycoprotein IIb/IIIa receptor	1994	4	4	1	Human/Protein	Abciximab	Antibody
DNA polymerase catalytic subunit	1979	1	1	1	Non-Human/Protein	Acyclovir	Small molecule
DNA polymerase catalytic subunit	1980	1	1	?	Non-Human/Protein	Acyclovir	Small molecule
DNA polymerase catalytic subunit	1982	4	4	1	Non-Human/Protein	Acyclovir	Small molecule
Alpha-galactosidase A	1998	1	1	1	Human/Protein	Agalsidase beta	Protein drug
Alpha-galactosidase A	1999	3	3	2	Human/Protein	Agalsidase beta	Protein drug
Alpha-galactosidase A	2000	3	3	1	Human/Protein	Agalsidase beta	Protein drug
Alpha-galactosidase A	2001	3	3	1	Human/Protein	Agalsidase beta	Protein drug
Alpha-galactosidase A	2002	3	3	2	Human/Protein	Agalsidase beta	Protein drug
Alpha-galactosidase A	2003	4	4	2	Human/Protein	Agalsidase beta	Protein drug
T-cell surface antigen CD2	1997	1	1	1	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	1998	1	1	1	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	1999	1	1	1	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	2000	1	1	1	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	2001	2	2	1	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	2002	3	3	2	Human/Protein	Alefacept	Protein drug
T-cell surface antigen CD2	2003	4	4	2	Human/Protein	Alefacept	Protein drug
CAMPATH-1 antigen	1988	1	1	1	Human/Protein	Alemtuzumab	Antibody
CAMPATH-1 antigen	1989	1	1	?	Human/Protein	Alemtuzumab	Antibody
CAMPATH-1 antigen	1999	2	2	1	Human/Protein	Alemtuzumab	Antibody
CAMPATH-1 antigen	2000	2	2	1	Human/Protein	Alemtuzumab	Antibody
CAMPATH-1 antigen	2001	4	4	1	Human/Protein	Alemtuzumab	Antibody
Alpha-1-antitrypsin	1980	1	1	1	Human/Protein	Alpha-1-proteinase inhibitor	Unknown
Alpha-1-antitrypsin	1981	1	1	?	Human/Protein	Alpha-1-proteinase inhibitor	Unknown
Alpha-1-antitrypsin	1982	1	1	?	Human/Protein	Alpha-1-proteinase inhibitor	Unknown
Alpha-1-antitrypsin	1987	4	4	1	Human/Protein	Alpha-1-proteinase inhibitor	Unknown
Plasminogen	1958	1	1	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1959	1	1	?	Human/Protein	Alteplase	Protein drug
Plasminogen	1982	3	3	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1983	3	3	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1984	3	3	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1985	3	3	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1986	3	3	1	Human/Protein	Alteplase	Protein drug
Plasminogen	1987	4	4	2	Human/Protein	Alteplase	Protein drug
cGMP-inhibited 3',5'-cyclic phosphodiesterase	1985	1	1	1	Human/Protein	Anagrelide hydrochloride	Small molecule
cGMP-inhibited 3',5'-cyclic phosphodiesterase	1986	1	1	?	Human/Protein	Anagrelide hydrochloride	Small molecule
cGMP-inhibited 3',5'-cyclic phosphodiesterase	1997	4	4	1	Human/Protein	Anagrelide hydrochloride	Small molecule
Interleukin-1 receptor type 1	2000	2	2	1	Human/Protein	Anakinra	Protein drug
Interleukin-1 receptor type 1	2001	4	4	1	Human/Protein	Anakinra	Protein drug
Aromatase	1982	2	2	1	Human/Protein	Anastrozole	Small molecule
Aromatase	1995	4	4	1	Human/Protein	Anastrozole	Small molecule
Substance-P receptor	1994	2	2	1	Human/Protein	Aprepitant	Small molecule
Substance-P receptor	1999	1	1	1	Human/Protein	Aprepitant	Small molecule
Substance-P receptor	2000	1	1	1	Human/Protein	Aprepitant	Small molecule
Substance-P receptor	2001	3	3	1	Human/Protein	Aprepitant	Small molecule
