Target Name	Label	First Approval Drug	Drug Type	Disease	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Progesterone receptor	Human/Protein	Norethindrone	Small molecule	Genit	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Norethindrone": "https://www.fpa.org.uk/factsheets/contraception-past-present-future; https://www.plannedparenthood.org/files/1514/3518/7100/Pill_History_FactSheet.pdf"}})	P4 (1||{"P4": {"Norethindrone": "https://drugs.ncats.io/drug/T18F433X4S; https://www.fpa.org.uk/factsheets/contraception-past-present-future; https://www.plannedparenthood.org/files/1514/3518/7100/Pill_History_FactSheet.pdf"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Interleukin-1 receptor type 1	Human/Protein	Anakinra	Protein drug	Bone	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	P2 (1||{"P2": {"Anakinra": "NCT00037648"}})	P4 (1||{"P4": {"Anakinra": "BLA103950; NCT00037648"}})	.	.
Angiotensin-converting enzyme	Human/Protein	Captopril	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Captopril": "PMID: 6985575||The early blood pressure and hemodynamic effects of the converting enzyme inhibitor (CEI), captopril, were compared in 23 hypertensive patients with those of a specific angiotensin II antagonist (AA), (Sar1, Thr8) A II, AA reduced mean arterial pressure (MAP) > 10 mm Hg only in seven of 23 patients vs 15 of 23 who responded to CEI (p<0.02)."}})	?P1	P4 (1||{"P4": {"Captopril": "NDA018343"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Sodium-dependent noradrenaline transporter	Human/Protein	Imipramine	Small molecule	Mental	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Imipramine": "PMID: 1104034||Imipramine was first used clinically by Kuhn in 1957, and many controlled trials of its suggested value in the treatment of depression have been reported since in 1957, and many controlled trials of its suggested value in the treatment of depression have been reported since."}})	?P1	P4 (1||{"P4": {"Imipramine": "NDA011836"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Sodium-dependent serotonin transporter	Human/Protein	Imipramine	Small molecule	Mental	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Imipramine": "PMID: 1104034||Imipramine was first used clinically by Kuhn in 1957, and many controlled trials of its suggested value in the treatment of depression have been reported since in 1957, and many controlled trials of its suggested value in the treatment of depression have been reported since."}})	?P1	P4 (1||{"P4": {"Imipramine": "NDA011836"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Erythropoietin receptor	Human/Protein	Epoetin alpha	Protein drug	Hema	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1/P2 (1||{"P1/P2": {"Epoetin alpha": "https://en.wikipedia.org/wiki/Erythropoietin#History||Synthetic EPO was first successfully used to correct anemia in 1987.; PMID: 3537801||Correction of the anemia of end-stage renal disease with recombinant human erythropoietin. Results of a combined phase I and II clinical trial."}})	.	P4 (1||{"P4": {"Epoetin alpha": "BLA103234"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Amine oxidase [flavin-containing] B	Human/Protein	Selegiline hydrochloride	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Selegiline hydrochloride": "https://en.wikipedia.org/wiki/Selegiline#History||In 1987 Somerset Pharmaceuticals in New Jersey, which had acquired the US rights to develop selegiline, filed a new drug application (NDA) with the FDA to market the drug for PD in the US."}})	?P1	P4 (2||{"P2": {"Omacetaxine mepesuccinate": "PMID: 2914287||Phase II Study of Low-Dose Continuous Infusion Homoharringtonine in Refractory Acute Myelogenous Leukemia"}, "P4": {"Selegiline hydrochloride": "NDA019334"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Alpha-1A adrenergic receptor	Human/Protein	Prazosin hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Prazosin hydrochloride": "PMID: 152750||A preliminary clinical trial of Prazosin: a new oral antihypertensive agent."}})	P1 (1||{"P1": {"Labetalol hydrochloride": "PMID: 53581||Letter: Intravenous labetalol in severe hypertension."}})	P4 (1||{"P4": {"Prazosin hydrochloride": "NDA017442"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Alpha-1B adrenergic receptor	Human/Protein	Prazosin hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Prazosin hydrochloride": "PMID: 152750||A preliminary clinical trial of Prazosin: a new oral antihypertensive agent."}})	P1 (1||{"P1": {"Labetalol hydrochloride": "PMID: 53581||Letter: Intravenous labetalol in severe hypertension."}})	P4 (1||{"P4": {"Prazosin hydrochloride": "NDA017442"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Alpha-1D adrenergic receptor	Human/Protein	Prazosin hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Prazosin hydrochloride": "PMID: 152750||A preliminary clinical trial of Prazosin: a new oral antihypertensive agent."}})	P1 (1||{"P1": {"Labetalol hydrochloride": "PMID: 53581||Letter: Intravenous labetalol in severe hypertension."}})	P4 (1||{"P4": {"Prazosin hydrochloride": "NDA017442"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
